Tiempo_s,ADC,Voltaje_V,Bloque,PesoProgramado_kg
8.900,450,2.199414,1,0.100000
9.000,450,2.199414,1,0.100000
9.100,450,2.199414,1,0.100000
9.200,450,2.199414,1,0.100000
9.300,450,2.199414,1,0.100000
9.400,450,2.199414,1,0.100000
9.500,450,2.199414,1,0.100000
9.600,450,2.199414,1,0.100000
9.700,450,2.199414,1,0.100000
9.800,450,2.199414,1,0.100000
9.900,450,2.199414,1,0.100000
10.000,450,2.199414,2,0.200000
10.100,450,2.199414,2,0.200000
10.200,450,2.199414,2,0.200000
10.301,450,2.199414,2,0.200000
10.400,450,2.199414,2,0.200000
10.500,450,2.199414,2,0.200000
10.600,450,2.199414,2,0.200000
10.700,450,2.199414,2,0.200000
10.800,450,2.199414,2,0.200000
10.900,450,2.199414,2,0.200000
11.000,449,2.194526,2,0.200000
11.100,440,2.150538,2,0.200000
11.200,433,2.116324,2,0.200000
11.300,430,2.101662,2,0.200000
11.400,430,2.101662,2,0.200000
11.500,430,2.101662,2,0.200000
11.600,430,2.101662,2,0.200000
11.700,430,2.101662,2,0.200000
11.800,430,2.101662,2,0.200000
11.900,430,2.101662,2,0.200000
12.000,430,2.101662,2,0.200000
12.100,430,2.101662,2,0.200000
12.200,430,2.101662,2,0.200000
12.300,430,2.101662,2,0.200000
12.400,430,2.101662,2,0.200000
12.500,430,2.101662,2,0.200000
12.600,430,2.101662,2,0.200000
12.700,430,2.101662,2,0.200000
12.800,430,2.101662,2,0.200000
12.900,430,2.101662,2,0.200000
13.000,430,2.101662,2,0.200000
13.100,430,2.101662,2,0.200000
13.200,430,2.101662,2,0.200000
13.300,430,2.101662,2,0.200000
13.400,430,2.101662,2,0.200000
13.501,430,2.101662,2,0.200000
13.600,430,2.101662,2,0.200000
13.700,430,2.101662,2,0.200000
13.800,430,2.101662,2,0.200000
13.900,430,2.101662,2,0.200000
14.000,430,2.101662,2,0.200000
14.100,430,2.101662,2,0.200000
14.200,430,2.101662,2,0.200000
14.300,430,2.101662,2,0.200000
14.400,430,2.101662,2,0.200000
14.500,430,2.101662,2,0.200000
14.600,429,2.096774,2,0.200000
14.700,430,2.101662,2,0.200000
14.800,430,2.101662,2,0.200000
14.900,430,2.101662,2,0.200000
15.000,430,2.101662,3,0.300000
15.100,430,2.101662,3,0.300000
15.200,430,2.101662,3,0.300000
15.300,430,2.101662,3,0.300000
15.400,430,2.101662,3,0.300000
15.500,430,2.101662,3,0.300000
15.600,430,2.101662,3,0.300000
15.700,430,2.101662,3,0.300000
15.800,430,2.101662,3,0.300000
15.900,427,2.086999,3,0.300000
16.000,419,2.047898,3,0.300000
16.100,409,1.999022,3,0.300000
16.200,408,1.994135,3,0.300000
16.300,408,1.994135,3,0.300000
16.400,408,1.994135,3,0.300000
16.500,408,1.994135,3,0.300000
16.600,408,1.994135,3,0.300000
16.701,408,1.994135,3,0.300000
16.800,408,1.994135,3,0.300000
16.900,408,1.994135,3,0.300000
17.000,408,1.994135,3,0.300000
17.100,408,1.994135,3,0.300000
17.200,408,1.994135,3,0.300000
17.300,407,1.989247,3,0.300000
17.400,408,1.994135,3,0.300000
17.500,408,1.994135,3,0.300000
17.600,408,1.994135,3,0.300000
17.700,408,1.994135,3,0.300000
17.800,408,1.994135,3,0.300000
17.900,408,1.994135,3,0.300000
18.000,408,1.994135,3,0.300000
18.100,408,1.994135,3,0.300000
18.200,408,1.994135,3,0.300000
18.300,407,1.989247,3,0.300000
18.400,408,1.994135,3,0.300000
18.500,408,1.994135,3,0.300000
18.600,408,1.994135,3,0.300000
18.700,408,1.994135,3,0.300000
18.800,408,1.994135,3,0.300000
18.900,408,1.994135,3,0.300000
19.000,407,1.989247,3,0.300000
19.100,408,1.994135,3,0.300000
19.200,408,1.994135,3,0.300000
19.300,408,1.994135,3,0.300000
19.400,408,1.994135,3,0.300000
19.500,408,1.994135,3,0.300000
19.600,408,1.994135,3,0.300000
19.700,408,1.994135,3,0.300000
19.800,408,1.994135,3,0.300000
19.901,408,1.994135,3,0.300000
20.000,408,1.994135,4,0.400000
20.100,408,1.994135,4,0.400000
20.200,407,1.989247,4,0.400000
20.300,408,1.994135,4,0.400000
20.400,408,1.994135,4,0.400000
20.500,408,1.994135,4,0.400000
20.600,408,1.994135,4,0.400000
20.700,408,1.994135,4,0.400000
20.800,408,1.994135,4,0.400000
20.900,397,1.940371,4,0.400000
21.000,394,1.925709,4,0.400000
21.100,394,1.925709,4,0.400000
21.200,393,1.920821,4,0.400000
21.300,394,1.925709,4,0.400000
21.400,393,1.920821,4,0.400000
21.500,393,1.920821,4,0.400000
21.600,393,1.920821,4,0.400000
21.700,394,1.925709,4,0.400000
21.800,393,1.920821,4,0.400000
21.900,393,1.920821,4,0.400000
22.000,393,1.920821,4,0.400000
22.100,393,1.920821,4,0.400000
22.200,393,1.920821,4,0.400000
22.300,393,1.920821,4,0.400000
22.400,393,1.920821,4,0.400000
22.500,393,1.920821,4,0.400000
22.600,393,1.920821,4,0.400000
22.700,393,1.920821,4,0.400000
22.800,393,1.920821,4,0.400000
22.900,393,1.920821,4,0.400000
23.000,393,1.920821,4,0.400000
23.101,393,1.920821,4,0.400000
23.200,393,1.920821,4,0.400000
23.300,393,1.920821,4,0.400000
23.400,393,1.920821,4,0.400000
23.500,393,1.920821,4,0.400000
23.600,393,1.920821,4,0.400000
23.700,393,1.920821,4,0.400000
23.800,393,1.920821,4,0.400000
23.900,393,1.920821,4,0.400000
24.000,393,1.920821,4,0.400000
24.100,393,1.920821,4,0.400000
24.200,393,1.920821,4,0.400000
24.300,393,1.920821,4,0.400000
24.400,393,1.920821,4,0.400000
24.500,393,1.920821,4,0.400000
24.600,393,1.920821,4,0.400000
24.700,393,1.920821,4,0.400000
24.800,393,1.920821,4,0.400000
24.900,393,1.920821,4,0.400000
25.000,393,1.920821,5,0.500000
25.100,393,1.920821,5,0.500000
25.200,393,1.920821,5,0.500000
25.300,393,1.920821,5,0.500000
25.400,393,1.920821,5,0.500000
25.500,393,1.920821,5,0.500000
25.600,393,1.920821,5,0.500000
25.700,393,1.920821,5,0.500000
25.800,393,1.920821,5,0.500000
25.900,391,1.911046,5,0.500000
26.000,390,1.906158,5,0.500000
26.100,390,1.906158,5,0.500000
26.200,386,1.886608,5,0.500000
26.301,385,1.881720,5,0.500000
26.400,384,1.876833,5,0.500000
26.500,384,1.876833,5,0.500000
26.600,383,1.871945,5,0.500000
26.700,384,1.876833,5,0.500000
26.800,383,1.871945,5,0.500000
26.900,383,1.871945,5,0.500000
27.000,383,1.871945,5,0.500000
27.100,383,1.871945,5,0.500000
27.200,383,1.871945,5,0.500000
27.300,383,1.871945,5,0.500000
27.400,383,1.871945,5,0.500000
27.500,383,1.871945,5,0.500000
27.600,383,1.871945,5,0.500000
27.700,383,1.871945,5,0.500000
27.800,383,1.871945,5,0.500000
27.900,383,1.871945,5,0.500000
28.000,383,1.871945,5,0.500000
28.100,383,1.871945,5,0.500000
28.200,383,1.871945,5,0.500000
28.300,383,1.871945,5,0.500000
28.400,383,1.871945,5,0.500000
28.500,383,1.871945,5,0.500000
28.600,383,1.871945,5,0.500000
28.700,383,1.871945,5,0.500000
28.800,383,1.871945,5,0.500000
28.900,383,1.871945,5,0.500000
29.000,383,1.871945,5,0.500000
29.100,383,1.871945,5,0.500000
29.200,383,1.871945,5,0.500000
29.300,383,1.871945,5,0.500000
29.400,383,1.871945,5,0.500000
29.501,383,1.871945,5,0.500000
29.600,383,1.871945,5,0.500000
29.700,383,1.871945,5,0.500000
29.800,383,1.871945,5,0.500000
29.900,383,1.871945,5,0.500000
30.000,383,1.871945,6,0.600000
30.100,383,1.871945,6,0.600000
30.200,383,1.871945,6,0.600000
30.300,383,1.871945,6,0.600000
30.400,383,1.871945,6,0.600000
30.500,383,1.871945,6,0.600000
30.600,383,1.871945,6,0.600000
30.700,383,1.871945,6,0.600000
30.800,383,1.871945,6,0.600000
30.900,381,1.862170,6,0.600000
31.000,373,1.823069,6,0.600000
31.100,371,1.813294,6,0.600000
31.200,371,1.813294,6,0.600000
31.300,371,1.813294,6,0.600000
31.400,371,1.813294,6,0.600000
31.500,371,1.813294,6,0.600000
31.600,371,1.813294,6,0.600000
31.700,371,1.813294,6,0.600000
31.800,371,1.813294,6,0.600000
31.900,371,1.813294,6,0.600000
32.000,371,1.813294,6,0.600000
32.100,371,1.813294,6,0.600000
32.200,371,1.813294,6,0.600000
32.300,371,1.813294,6,0.600000
32.400,371,1.813294,6,0.600000
32.500,370,1.808407,6,0.600000
32.600,370,1.808407,6,0.600000
32.701,370,1.808407,6,0.600000
32.800,370,1.808407,6,0.600000
32.900,370,1.808407,6,0.600000
33.000,370,1.808407,6,0.600000
33.100,370,1.808407,6,0.600000
33.200,371,1.813294,6,0.600000
33.300,370,1.808407,6,0.600000
33.400,370,1.808407,6,0.600000
33.500,371,1.813294,6,0.600000
33.600,370,1.808407,6,0.600000
33.700,370,1.808407,6,0.600000
33.800,370,1.808407,6,0.600000
33.900,371,1.813294,6,0.600000
34.000,370,1.808407,6,0.600000
34.100,370,1.808407,6,0.600000
34.200,370,1.808407,6,0.600000
34.300,370,1.808407,6,0.600000
34.400,370,1.808407,6,0.600000
34.500,371,1.813294,6,0.600000
34.600,370,1.808407,6,0.600000
34.700,371,1.813294,6,0.600000
34.800,370,1.808407,6,0.600000
34.900,370,1.808407,6,0.600000
35.000,370,1.808407,7,0.700000
35.100,370,1.808407,7,0.700000
35.200,370,1.808407,7,0.700000
35.300,370,1.808407,7,0.700000
35.400,370,1.808407,7,0.700000
35.500,370,1.808407,7,0.700000
35.600,370,1.808407,7,0.700000
35.700,370,1.808407,7,0.700000
35.800,370,1.808407,7,0.700000
35.901,370,1.808407,7,0.700000
36.000,370,1.808407,7,0.700000
36.100,370,1.808407,7,0.700000
36.200,370,1.808407,7,0.700000
36.300,370,1.808407,7,0.700000
36.400,371,1.813294,7,0.700000
36.500,370,1.808407,7,0.700000
36.600,370,1.808407,7,0.700000
36.700,370,1.808407,7,0.700000
36.800,370,1.808407,7,0.700000
36.900,370,1.808407,7,0.700000
37.000,370,1.808407,7,0.700000
37.100,370,1.808407,7,0.700000
37.200,370,1.808407,7,0.700000
37.300,370,1.808407,7,0.700000
37.400,370,1.808407,7,0.700000
37.500,370,1.808407,7,0.700000
37.600,370,1.808407,7,0.700000
37.700,370,1.808407,7,0.700000
37.800,370,1.808407,7,0.700000
37.900,370,1.808407,7,0.700000
38.000,371,1.813294,7,0.700000
38.100,370,1.808407,7,0.700000
38.200,370,1.808407,7,0.700000
38.300,370,1.808407,7,0.700000
38.400,371,1.813294,7,0.700000
38.500,370,1.808407,7,0.700000
38.600,370,1.808407,7,0.700000
38.700,370,1.808407,7,0.700000
38.800,370,1.808407,7,0.700000
38.900,370,1.808407,7,0.700000
39.000,370,1.808407,7,0.700000
39.101,370,1.808407,7,0.700000
39.200,370,1.808407,7,0.700000
39.300,370,1.808407,7,0.700000
39.400,371,1.813294,7,0.700000
39.500,371,1.813294,7,0.700000
39.600,370,1.808407,7,0.700000
39.700,370,1.808407,7,0.700000
39.800,370,1.808407,7,0.700000
39.900,370,1.808407,7,0.700000
40.000,370,1.808407,8,0.800000
